LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_time_lastSpikeTime ISIM_neuron_model_stateCURRENT_time_lastSpikeTime ERROR_neuron_model_stateCURRENT_time_lastSpikeTime LEMS_neuron_model_stateCURRENT_conductance_SynapseModel_g ISIM_neuron_model_stateCURRENT_conductance_SynapseModel_g ERROR_neuron_model_stateCURRENT_conductance_SynapseModel_g LEMS_neuron_model_stateCURRENT_current_SynapseModel_i ISIM_neuron_model_stateCURRENT_current_SynapseModel_i ERROR_neuron_model_stateCURRENT_current_SynapseModel_i  
0.0 0.0 0.0 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.0E-5 5.00679E-5 4.6108006E-15 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0E-4 1.001358E-4 1.8443202E-14 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.5E-4 1.502037E-4 4.1492756E-14 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.0E-4 2.002716E-4 7.377281E-14 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.5E-4 2.503395E-4 1.1525766E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.0E-4 3.004074E-4 1.6597102E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.5E-4 3.504753E-4 2.2593268E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.0E-4 4.005432E-4 2.9509124E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.5E-4 4.506111E-4 3.7347038E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.0E-4 5.00679E-4 4.6103063E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.5E-4 5.507469E-4 5.5789054E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.0E-4 6.008148E-4 6.638841E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.5E-4 6.508827E-4 7.7919317E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.0E-4 7.009506E-4 9.037307E-13 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.5E-4 7.510185E-4 1.0373782E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.0E-4 8.010864E-4 1.1803649E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.5E-4 8.511543E-4 1.3324458E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.0E-4 9.012222E-4 1.4938815E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.5E-4 9.512901E-4 1.6642455E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.001 0.001001358 1.8441225E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00105 0.001051426 2.033726E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0011 0.001101494 2.23191E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00115 0.001151562 2.4396702E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0012 0.00120163 2.6566748E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00125 0.001251698 2.883319E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0013 0.001301765 3.1151286E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00135 0.001351833 3.3597396E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0014 0.001401901 3.6140375E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00145 0.001451969 3.877153E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0015 0.001502037 4.1495128E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00155 0.001552105 4.430627E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0016 0.001602173 4.7219654E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00165 0.001652241 5.0220583E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0017 0.001702309 5.3313955E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00175 0.001752377 5.649977E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0018 0.001802444 5.9732497E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00185 0.001852512 6.3101933E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0019 0.00190258 6.656381E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00195 0.001952648 7.01243E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.002 0.002002716 7.37649E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00205 0.002052784 7.750411E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0021 0.002102852 8.134904E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00215 0.00215292 8.525986E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0022 0.002202988 8.92764E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00225 0.002253056 9.339961E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0023 0.002303123 9.7528634E-12 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00235 0.002353191 1.0182123E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0024 0.002403259 1.06206285E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00245 0.002453327 1.1068377E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0025 0.002503395 1.1526951E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00255 0.002553463 1.1991608E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0026 0.002603531 1.2467091E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00265 0.002653599 1.29534924E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0027 0.002703667 1.3445788E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
