LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_none_U ISIM_neuron_model_stateCURRENT_none_U ERROR_neuron_model_stateCURRENT_none_U LEMS_neuron_model_stateCURRENT_none_i1_I ISIM_neuron_model_stateCURRENT_none_i1_I ERROR_neuron_model_stateCURRENT_none_i1_I  
0.0 0.0 0.0 0.0 0.0 0.0 -0.07 -0.07000041 1.6792123E-13 -14.0 -14.0 0.0 0.0 0.0 0.0 
5.0E-5 5.00679E-5 4.6108006E-15 0.0 0.0 0.0 -0.07 -0.07000089 7.860934E-13 -14.0 -14.0 0.0 0.0 0.0 0.0 
1.0E-4 1.001358E-4 1.8443202E-14 0.0 0.0 0.0 -0.07 -0.07000136 1.8387514E-12 -14.0 -14.0 0.0 0.0 0.0 0.0 
1.5E-4 1.502037E-4 4.1492756E-14 0.0 0.0 0.0 -0.07 -0.07000184 3.3866798E-12 -14.0 -14.0 0.0 0.0 0.0 0.0 
2.0E-4 2.002716E-4 7.377281E-14 0.0 0.0 0.0 -0.07 -0.07000232 5.369094E-12 -14.0 -14.0 0.0 0.0 0.0 0.0 
2.5E-4 2.503395E-4 1.1525766E-13 0.0 0.0 0.0 -0.07 -0.07000279 7.764678E-12 -14.0 -14.0 0.0 0.0 0.0 0.0 
3.0E-4 3.004074E-4 1.6597102E-13 0.0 0.0 0.0 -0.07 -0.07000327 1.0698165E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
3.5E-4 3.504753E-4 2.2593268E-13 0.0 0.0 0.0 -0.07 -0.07000375 1.4044821E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
4.0E-4 4.005432E-4 2.9509124E-13 0.0 0.0 0.0 -0.07 -0.07000422 1.778333E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
4.5E-4 4.506111E-4 3.7347038E-13 0.0 0.0 0.0 -0.07 -0.0700047 2.2102375E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
5.0E-4 5.00679E-4 4.6103063E-13 0.0 0.0 0.0 -0.07 -0.07000518 2.6813274E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
5.5E-4 5.507469E-4 5.5789054E-13 0.0 0.0 0.0 -0.07 -0.07000566 3.206324E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
6.0E-4 6.008148E-4 6.638841E-13 0.0 0.0 0.0 -0.07 -0.07000613 3.7599313E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
6.5E-4 6.508827E-4 7.7919317E-13 0.0 0.0 0.0 -0.07 -0.07000661 4.3674453E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
7.0E-4 7.009506E-4 9.037307E-13 0.0 0.0 0.0 -0.07 -0.07000709 5.030998E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
7.5E-4 7.510185E-4 1.0373782E-12 0.0 0.0 0.0 -0.07 -0.07000732 5.3530735E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
8.0E-4 8.010864E-4 1.1803649E-12 0.0 0.0 0.0 -0.07 -0.07000756 5.7188976E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
8.5E-4 8.511543E-4 1.3324458E-12 0.0 0.0 0.0 -0.07 -0.0700078 6.0851824E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
9.0E-4 9.012222E-4 1.4938815E-12 0.0 0.0 0.0 -0.07 -0.07000804 6.462836E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
9.5E-4 9.512901E-4 1.6642455E-12 0.0 0.0 0.0 -0.07 -0.07000828 6.851858E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.001 0.001001358 1.8441225E-12 0.0 0.0 0.0 -0.07 -0.07000852 7.252249E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00105 0.001051426 2.033726E-12 0.0 0.0 0.0 -0.07 -0.07000875 7.650969E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0011 0.001101494 2.23191E-12 0.0 0.0 0.0 -0.07 -0.07000899 8.0871365E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00115 0.001151562 2.4396702E-12 0.0 0.0 0.0 -0.07 -0.07000923 8.5216334E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0012 0.00120163 2.6566748E-12 0.0 0.0 0.0 -0.07 -0.07000947 8.967499E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00125 0.001251698 2.883319E-12 0.0 0.0 0.0 -0.07 -0.07000971 9.424733E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0013 0.001301765 3.1151286E-12 0.0 0.0 0.0 -0.07 -0.07000995 9.893336E-11 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00135 0.001351833 3.3597396E-12 0.0 0.0 0.0 -0.07 -0.07001019 1.038849E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0014 0.001401901 3.6140375E-12 0.0 0.0 0.0 -0.07 -0.07001042 1.0864648E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00145 0.001451969 3.877153E-12 0.0 0.0 0.0 -0.07 -0.07001066 1.1367357E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0015 0.001502037 4.1495128E-12 0.0 0.0 0.0 -0.07 -0.0700109 1.1881435E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00155 0.001552105 4.430627E-12 0.0 0.0 0.0 -0.07 -0.07001114 1.2406881E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0016 0.001602173 4.7219654E-12 0.0 0.0 0.0 -0.07 -0.07001138 1.2943696E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00165 0.001652241 5.0220583E-12 0.0 0.0 0.0 -0.07 -0.07001162 1.3509194E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0017 0.001702309 5.3313955E-12 0.0 0.0 0.0 -0.07 -0.07001185 1.4033774E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00175 0.001752377 5.649977E-12 0.0 0.0 0.0 -0.07 -0.07001209 1.4622353E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0018 0.001802444 5.9732497E-12 0.0 0.0 0.0 -0.07 -0.07001233 1.5204643E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00185 0.001852512 6.3101933E-12 0.0 0.0 0.0 -0.07 -0.07001257 1.5798302E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0019 0.00190258 6.656381E-12 0.0 0.0 0.0 -0.07 -0.07001281 1.6403329E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00195 0.001952648 7.01243E-12 0.0 0.0 0.0 -0.07 -0.07001305 1.703917E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.002 0.002002716 7.37649E-12 0.0 0.0 0.0 -0.07 -0.07001328 1.7627699E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00205 0.002052784 7.750411E-12 0.0 0.0 0.0 -0.07 -0.07001352 1.8286622E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0021 0.002102852 8.134904E-12 0.0 0.0 0.0 -0.07 -0.07001376 1.8937124E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00215 0.00215292 8.525986E-12 0.0 0.0 0.0 -0.07 -0.070014 1.9598995E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0022 0.002202988 8.92764E-12 0.0 0.0 0.0 -0.07 -0.07001424 2.0272234E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00225 0.002253056 9.339961E-12 0.0 0.0 0.0 -0.07 -0.07001448 2.0956842E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0023 0.002303123 9.7528634E-12 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00235 0.002353191 1.0182123E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0024 0.002403259 1.06206285E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00245 0.002453327 1.1068377E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0025 0.002503395 1.1526951E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00255 0.002553463 1.1991608E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0026 0.002603531 1.2467091E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00265 0.002653599 1.29534924E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0027 0.002703667 1.3445788E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00275 0.002753735 1.3950742E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0028 0.002803802 1.445615E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00285 0.00285387 1.4975956E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0029 0.002903938 1.5508612E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00295 0.002954006 1.6046844E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.003 0.003004074 1.6598051E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00305 0.003054142 1.7156637E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0031 0.00310421 1.7722507E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00315 0.003154278 1.8301543E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0032 0.003204346 1.8887862E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
