SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_none_spiking neuron_model_stateCURRENT_current_leak_i neuron_model_stateCURRENT_conductance_leak_passive_g neuron_model_stateCURRENT_current_naChans_i neuron_model_stateCURRENT_conductance_naChans_na_g neuron_model_stateCURRENT_none_naChans_na_m_q neuron_model_stateCURRENT_none_naChans_na_m_fcond neuron_model_stateCURRENT_per_time_naChans_na_m_reverseRatem1_r neuron_model_stateCURRENT_per_time_naChans_na_m_forwardRatem1_r neuron_model_stateCURRENT_none_naChans_na_h_q neuron_model_stateCURRENT_none_naChans_na_h_fcond neuron_model_stateCURRENT_per_time_naChans_na_h_reverseRateh1_r neuron_model_stateCURRENT_per_time_naChans_na_h_forwardRateh1_r neuron_model_stateCURRENT_current_kChans_i neuron_model_stateCURRENT_conductance_kChans_k_g neuron_model_stateCURRENT_none_kChans_k_n_q neuron_model_stateCURRENT_none_kChans_k_n_fcond neuron_model_stateCURRENT_per_time_kChans_k_n_reverseRaten1_r neuron_model_stateCURRENT_per_time_kChans_k_n_forwardRaten1_r neuron_model_stateCURRENT_conductance_synapsemodel_g neuron_model_stateCURRENT_current_synapsemodel_i 
0.000000e+00 0 -6.499839e-02 0.000000e+00 3.209999e-11 1.000000e-11 1.225686e-11 1.221245e-15 5.297852e-02 1.220703e-04 4.000000e+03 2.235000e+02 5.960693e-01 5.960693e-01 4.750000e+01 7.000000e+01 -4.398026e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.825000e+01 0.000000e+00 0.000000e+00 
5.006790e-05 0 -6.499648e-02 0.000000e+00 3.209499e-11 1.000000e-11 1.685296e-11 1.221245e-15 5.297852e-02 1.220703e-04 3.999500e+03 2.235000e+02 5.960693e-01 5.960693e-01 4.750000e+01 7.000000e+01 -4.379452e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.825000e+01 0.000000e+00 0.000000e+00 
1.001358e-04 0 -6.496978e-02 0.000000e+00 3.208922e-11 1.000000e-11 1.685263e-11 1.221245e-15 5.297852e-02 1.220703e-04 3.999000e+03 2.237500e+02 5.960693e-01 5.960693e-01 4.750000e+01 7.000000e+01 -4.380141e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.825000e+01 0.000000e+00 0.000000e+00 
1.502037e-04 0 -6.494331e-02 0.000000e+00 3.200917e-11 1.000000e-11 1.684874e-11 1.221245e-15 5.297852e-02 1.220703e-04 3.993250e+03 2.240000e+02 5.960693e-01 5.960693e-01 4.750000e+01 7.000000e+01 -4.389888e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.825000e+01 0.000000e+00 0.000000e+00 
2.002716e-04 0 -6.491780e-02 0.000000e+00 3.192968e-11 1.000000e-11 1.684486e-11 1.221245e-15 5.297852e-02 1.220703e-04 3.987250e+03 2.245000e+02 5.960693e-01 5.960693e-01 4.775000e+01 6.975000e+01 -4.399547e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.850000e+01 0.000000e+00 0.000000e+00 
2.503395e-04 0 -6.489325e-02 0.000000e+00 3.185319e-11 1.000000e-11 1.684108e-11 1.221245e-15 5.310059e-02 1.220703e-04 3.982000e+03 2.247500e+02 5.960693e-01 5.960693e-01 4.775000e+01 6.975000e+01 -4.408851e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.250000e+02 5.850000e+01 0.000000e+00 0.000000e+00 
3.004074e-04 0 -6.486940e-02 0.000000e+00 3.177958e-11 1.000000e-11 1.683753e-11 1.221245e-15 5.322266e-02 1.220703e-04 3.976000e+03 2.252500e+02 5.960693e-01 5.960693e-01 4.800000e+01 6.950000e+01 -4.417822e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.850000e+01 0.000000e+00 0.000000e+00 
3.504753e-04 0 -6.484652e-02 0.000000e+00 3.170797e-11 1.000000e-11 1.683409e-11 1.221245e-15 5.334473e-02 1.220703e-04 3.971250e+03 2.255000e+02 5.960693e-01 5.960693e-01 4.800000e+01 6.950000e+01 -4.426515e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.875000e+01 0.000000e+00 0.000000e+00 
4.005432e-04 0 -6.482434e-02 0.000000e+00 3.163936e-11 1.000000e-11 1.683065e-11 1.221245e-15 5.346680e-02 1.220703e-04 3.965750e+03 2.260000e+02 5.960693e-01 5.960693e-01 4.825000e+01 6.950000e+01 -4.434875e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.875000e+01 0.000000e+00 0.000000e+00 
4.506111e-04 0 -6.480312e-02 0.000000e+00 3.157286e-11 1.000000e-11 1.682743e-11 1.221245e-15 5.358887e-02 1.220703e-04 3.961000e+03 2.262500e+02 5.960693e-01 5.960693e-01 4.825000e+01 6.950000e+01 -4.442957e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.875000e+01 0.000000e+00 0.000000e+00 
5.006790e-04 0 -6.478262e-02 0.000000e+00 3.150913e-11 1.000000e-11 1.682432e-11 1.221245e-15 5.371094e-02 1.220703e-04 3.956000e+03 2.267500e+02 5.960693e-01 5.960693e-01 4.825000e+01 6.925000e+01 -4.450706e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.875000e+01 0.000000e+00 0.000000e+00 
5.507469e-04 0 -6.476283e-02 0.000000e+00 3.144762e-11 1.000000e-11 1.682132e-11 1.221245e-15 5.383301e-02 1.220703e-04 3.951750e+03 2.270000e+02 5.960693e-01 5.960693e-01 4.850000e+01 6.925000e+01 -4.458189e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.900000e+01 0.000000e+00 0.000000e+00 
6.008148e-04 0 -6.474376e-02 0.000000e+00 3.138834e-11 1.000000e-11 1.681844e-11 1.221245e-15 5.395508e-02 1.220703e-04 3.947250e+03 2.272500e+02 5.960693e-01 5.960693e-01 4.850000e+01 6.925000e+01 -4.465406e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.247500e+02 5.900000e+01 0.000000e+00 0.000000e+00 
6.508827e-04 0 -6.472540e-02 0.000000e+00 3.133105e-11 1.000000e-11 1.681566e-11 1.221245e-15 5.407715e-02 1.220703e-04 3.943250e+03 2.275000e+02 5.960693e-01 5.960693e-01 4.850000e+01 6.900000e+01 -4.472367e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.900000e+01 0.000000e+00 0.000000e+00 
7.009506e-04 0 -6.470776e-02 0.000000e+00 3.127598e-11 1.000000e-11 1.681288e-11 1.221245e-15 5.419922e-02 1.220703e-04 3.939500e+03 2.277500e+02 5.960693e-01 5.960693e-01 4.875000e+01 6.900000e+01 -4.479062e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.925000e+01 0.000000e+00 0.000000e+00 
7.510185e-04 0 -6.469083e-02 0.000000e+00 3.122302e-11 1.000000e-11 1.681033e-11 1.221245e-15 5.432129e-02 1.220703e-04 3.935500e+03 2.280000e+02 5.960693e-01 5.960693e-01 4.875000e+01 6.900000e+01 -4.485501e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.925000e+01 0.000000e+00 0.000000e+00 
8.010864e-04 0 -6.467438e-02 0.000000e+00 3.117229e-11 1.000000e-11 1.680789e-11 1.221245e-15 5.444336e-02 1.220703e-04 3.931750e+03 2.282500e+02 5.960693e-01 5.960693e-01 4.875000e+01 6.900000e+01 -4.491685e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.925000e+01 0.000000e+00 0.000000e+00 
8.511543e-04 0 -6.465864e-02 0.000000e+00 3.112288e-11 1.000000e-11 1.680545e-11 1.221245e-15 5.456543e-02 1.220703e-04 3.928750e+03 2.287500e+02 5.960693e-01 5.960693e-01 4.900000e+01 6.875000e+01 -4.497680e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.925000e+01 0.000000e+00 0.000000e+00 
9.012222e-04 0 -6.464338e-02 0.000000e+00 3.107570e-11 1.000000e-11 1.680311e-11 1.221245e-15 5.468750e-02 1.220703e-04 3.925250e+03 2.290000e+02 5.959473e-01 5.960693e-01 4.900000e+01 6.875000e+01 -4.503431e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.925000e+01 0.000000e+00 0.000000e+00 
9.512901e-04 0 -6.462860e-02 0.000000e+00 3.102996e-11 1.000000e-11 1.680089e-11 1.221245e-15 5.480957e-02 1.220703e-04 3.922000e+03 2.292500e+02 5.958252e-01 5.959473e-01 4.900000e+01 6.875000e+01 -4.508993e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.950000e+01 0.000000e+00 0.000000e+00 
1.001358e-03 0 -6.461453e-02 0.000000e+00 3.098555e-11 1.000000e-11 1.679878e-11 1.221245e-15 5.493164e-02 1.220703e-04 3.918500e+03 2.292500e+02 5.957031e-01 5.958252e-01 4.925000e+01 6.875000e+01 -4.514389e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.950000e+01 0.000000e+00 0.000000e+00 
1.051426e-03 0 -6.460094e-02 0.000000e+00 3.094336e-11 1.000000e-11 1.679668e-11 1.221245e-15 5.505371e-02 1.220703e-04 3.915500e+03 2.295000e+02 5.955811e-01 5.957031e-01 4.925000e+01 6.875000e+01 -4.519518e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.245000e+02 5.950000e+01 0.000000e+00 0.000000e+00 
1.101494e-03 0 -6.458783e-02 0.000000e+00 3.090261e-11 1.000000e-11 1.679468e-11 1.221245e-15 5.517578e-02 1.220703e-04 3.912500e+03 2.297500e+02 5.954590e-01 5.955811e-01 4.925000e+01 6.850000e+01 -4.524481e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.242500e+02 5.950000e+01 0.000000e+00 0.000000e+00 
1.151562e-03 0 -6.457520e-02 0.000000e+00 3.086331e-11 1.000000e-11 1.679279e-11 1.221245e-15 5.517578e-02 1.220703e-04 3.909750e+03 2.300000e+02 5.953369e-01 5.954590e-01 4.925000e+01 6.850000e+01 -4.529266e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.242500e+02 5.950000e+01 0.000000e+00 0.000000e+00 
1.201630e-03 0 -6.456304e-02 0.000000e+00 3.082534e-11 1.000000e-11 1.679090e-11 1.221245e-15 5.529785e-02 1.220703e-04 3.906750e+03 2.302500e+02 5.952148e-01 5.953369e-01 4.950000e+01 6.850000e+01 -4.533873e-11 1.013634e-13 3.176270e-01 1.013184e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
1.251698e-03 0 -6.455135e-02 0.000000e+00 3.078893e-11 1.000000e-11 1.678913e-11 1.221245e-15 5.541992e-02 1.220703e-04 3.903750e+03 2.305000e+02 5.950928e-01 5.952148e-01 4.950000e+01 6.850000e+01 -4.538314e-11 1.013634e-13 3.177490e-01 1.013184e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
1.301765e-03 0 -6.453991e-02 0.000000e+00 3.075384e-11 1.000000e-11 1.678746e-11 1.221245e-15 5.554199e-02 1.220703e-04 3.901250e+03 2.305000e+02 5.949707e-01 5.950928e-01 4.950000e+01 6.850000e+01 -4.542577e-11 1.013634e-13 3.178711e-01 1.025391e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
1.351833e-03 0 -6.452894e-02 0.000000e+00 3.071954e-11 1.000000e-11 1.678579e-11 1.221245e-15 5.554199e-02 1.220703e-04 3.899000e+03 2.307500e+02 5.948486e-01 5.949707e-01 4.950000e+01 6.850000e+01 -4.546752e-11 1.025846e-13 3.179932e-01 1.025391e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
1.401901e-03 0 -6.451845e-02 0.000000e+00 3.068656e-11 1.000000e-11 1.678413e-11 1.221245e-15 5.566406e-02 1.220703e-04 3.897000e+03 2.310000e+02 5.947266e-01 5.948486e-01 4.950000e+01 6.825000e+01 -4.605583e-11 1.025846e-13 3.181152e-01 1.025391e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
1.451969e-03 0 -6.451106e-02 0.000000e+00 3.065515e-11 1.000000e-11 1.678258e-11 1.221245e-15 5.566406e-02 1.220703e-04 3.894500e+03 2.310000e+02 5.946045e-01 5.947266e-01 4.975000e+01 6.825000e+01 -4.609457e-11 1.025846e-13 3.181152e-01 1.025391e-02 1.242500e+02 5.975000e+01 0.000000e+00 0.000000e+00 
